Ingredient,Total,African,EastAsian,EasternEuropean,LatinAmerican,MiddleEastern,NorthAmerican,NorthernEuropean,SouthAsian,SoutheastAsian,SouthernEuropean,WesternEuropean
gruyere_cheese,44,0,1,1,1,0,19,0,0,0,4,18
guava,13,0,0,0,4,0,8,0,0,0,1,0
haddock,31,2,0,1,3,0,18,0,1,0,2,4
ham,1291,0,29,3,37,0,944,5,0,1,192,80
hazelnut,288,4,0,10,4,9,161,1,0,0,54,45
herring,10,0,0,0,0,0,3,7,0,0,0,0
holy_basil,2,0,0,0,0,0,0,0,0,2,0,0
honey,2483,42,105,13,64,43,1955,2,14,24,134,87
hop,3,0,0,0,0,0,2,0,0,0,0,1
horseradish,387,0,6,9,4,9,339,2,0,0,5,13
huckleberry,10,0,0,0,0,0,9,0,0,0,1,0
jamaican_rum,1,0,0,0,0,0,0,0,0,0,0,1
japanese_plum,13,0,12,0,0,0,0,0,0,0,0,1
jasmine,7,0,0,0,0,0,4,0,3,0,0,0
jasmine_tea,1,0,0,0,0,0,1,0,0,0,0,0
juniper_berry,33,1,0,4,0,0,9,3,0,0,6,10
kale,96,0,3,0,1,0,59,0,1,1,29,2
katsuobushi,49,0,46,0,2,0,1,0,0,0,0,0
kelp,178,0,178,0,0,0,0,0,0,0,0,0
kidney_bean,442,2,0,1,100,2,288,0,5,0,36,8
kiwi,105,0,4,0,8,0,74,0,2,0,2,15
kohlrabi,6,0,1,1,0,1,3,0,0,0,0,0
kumquat,28,2,1,0,0,0,21,0,0,0,1,3
lamb,472,46,3,8,10,48,210,3,22,3,78,41
lard,3052,7,11,23,174,16,2552,13,5,1,76,174
laurel,2,0,0,0,0,0,2,0,0,0,0,0
lavender,62,0,0,0,0,0,36,0,0,0,4,22
leaf,9,0,0,0,2,1,2,0,0,0,1,3
leek,411,5,10,4,4,21,224,2,1,1,50,89
lemon,3046,57,47,32,52,88,2221,12,19,17,344,157
lemongrass,137,1,0,0,0,2,30,0,2,96,1,5
lemon_juice,5033,81,43,25,142,160,3755,16,94,26,442,249
lemon_peel,715,8,3,5,5,26,508,1,1,3,107,48
lentil,250,10,1,1,8,10,150,0,32,0,22,16
lettuce,1152,2,78,4,173,16,713,7,9,33,61,56
licorice,20,0,1,0,0,0,18,1,0,0,0,0
lilac_flower_oil,1,0,0,0,0,0,1,0,0,0,0,0
lima_bean,149,1,2,0,11,1,117,0,2,0,11,4
lime,1083,4,7,0,225,5,702,0,29,84,20,7
lime_juice,1427,10,20,2,411,12,766,2,33,132,24,15
lime_peel_oil,100,3,2,0,21,0,68,0,2,2,2,0
lingonberry,9,0,0,0,0,0,3,5,0,0,0,1
litchi,9,0,1,0,0,0,7,0,0,0,0,1
liver,41,0,1,1,0,1,24,0,0,0,8,6
lobster,126,2,2,0,6,0,90,0,1,0,16,9
lovage,142,0,0,1,3,0,133,1,0,0,4,0
macadamia_nut,102,0,0,0,0,0,99,0,0,2,0,1
macaroni,3074,9,12,7,75,12,1924,1,5,17,978,34
mace,115,2,1,4,1,3,89,1,4,1,2,7
mackerel,44,0,40,0,0,0,0,0,0,0,0,4
malt,37,0,1,0,2,1,28,0,1,0,0,4
mandarin,278,0,3,0,2,2,268,0,0,1,1,1
mandarin_peel,10,0,6,0,0,0,2,0,0,1,0,1
mango,388,4,5,0,46,1,249,0,50,17,7,9
maple_syrup,471,0,4,0,1,2,453,0,0,1,1,9
marjoram,528,5,0,13,10,5,440,0,0,2,38,15
mate,1,0,0,0,0,0,1,0,0,0,0,0
matsutake,56,0,50,0,0,0,0,0,0,0,4,2
meat,970,7,37,14,60,12,654,2,9,6,73,96
melon,157,0,5,0,6,1,134,0,2,0,8,1
milk,12895,22,51,94,334,43,10996,56,61,20,525,693
milk_fat,947,5,2,22,47,13,562,6,12,1,134,143
mint,932,33,11,3,41,73,487,1,47,74,125,37
mozzarella_cheese,1290,0,2,4,51,5,764,0,0,1,419,44
mung_bean,19,0,14,0,0,0,1,0,1,3,0,0
munster_cheese,27,0,0,0,2,0,24,0,0,0,0,1
muscat_grape,1,0,0,0,0,0,1,0,0,0,0,0
mushroom,3317,3,170,24,108,8,2506,1,6,26,320,145
mussel,163,1,32,0,4,0,46,2,0,6,40,32
mustard,4096,8,80,15,98,6,3476,21,59,7,74,252
mutton,3,0,0,0,0,0,2,0,0,0,0,1
nectarine,50,0,0,0,1,0,45,0,0,0,2,2
nira,66,0,64,0,0,0,0,0,0,0,1,1
nut,1219,7,164,5,12,26,764,1,10,8,181,41
nutmeg,2512,12,6,13,28,17,2120,14,19,3,125,155
oat,1267,0,0,0,6,1,1216,5,0,0,4,35
oatmeal,60,0,2,0,1,0,52,0,0,0,1,4
octopus,45,1,32,0,1,0,0,0,0,0,10,1
okra,100,2,0,1,4,1,81,0,9,0,2,0
olive,1797,44,3,3,259,25,1018,2,1,1,360,81
olive_oil,9844,196,33,37,556,262,5553,11,93,36,2612,455
onion,18031,189,590,162,1906,221,12311,39,316,126,1451,720
orange,1709,15,20,11,61,36,1302,18,7,3,139,97
orange_flower,18,1,0,0,1,3,4,0,0,0,4,5
orange_juice,1700,12,9,4,82,35,1445,4,2,1,60,46
orange_peel,572,7,3,3,7,15,423,3,1,0,69,41
oregano,3179,4,0,4,529,19,1938,0,4,5,643,33
ouzo,9,0,0,0,0,0,1,0,0,0,8,0
oyster,356,0,145,0,6,0,162,0,0,20,11,12
palm,38,0,2,0,3,0,17,0,2,13,1,0
papaya,46,1,0,0,7,0,29,0,1,5,1,2
parmesan_cheese,3167,5,3,3,37,7,2014,0,4,1,1007,86
parsley,5562,70,42,47,145,134,3683,12,20,8,1025,376
parsnip,139,3,0,3,1,8,102,1,2,0,4,15
passion_fruit,20,1,0,0,3,0,15,0,1,0,0,0
pea,1099,9,63,5,38,10,751,4,49,20,104,46
peach,528,1,0,0,12,1,476,0,8,0,14,16
peanut,453,3,46,0,7,0,337,0,9,42,2,7
peanut_butter,995,13,11,0,7,0,917,0,4,37,0,6
peanut_oil,210,7,54,0,6,3,100,0,6,23,4,7
pear,468,4,88,1,12,7,299,3,5,1,23,25
pear_brandy,11,0,0,0,0,0,8,0,0,0,2,1
pecan,2176,2,1,3,33,11,2075,4,0,1,17,29
pelargonium,1,0,0,0,0,0,1,0,0,0,0,0
pepper,9060,67,136,52,640,87,7000,29,188,123,459,279
peppermint,142,0,0,0,0,0,139,0,2,0,1,0
peppermint_oil,9,1,0,0,0,0,8,0,0,0,0,0
pimenta,2,0,0,0,0,0,0,0,0,0,2,0
pimento,270,2,0,0,27,0,217,0,0,0,23,1
pineapple,1616,3,20,0,50,3,1490,1,8,9,12,20
pistachio,219,6,1,2,0,21,130,0,9,0,27,23
plum,277,12,7,9,8,14,178,6,1,0,17,25
popcorn,97,0,0,0,4,0,92,0,0,0,0,1
porcini,106,0,0,1,1,4,44,0,1,0,46,9
pork,1964,1,245,20,143,2,1300,10,4,39,117,83
pork_liver,5,0,0,0,0,0,3,0,0,1,0,1
pork_sausage,1362,1,10,17,80,1,941,2,0,2,269,39
port_wine,49,0,0,0,1,0,35,5,0,0,2,6
potato,3545,20,88,73,133,48,2562,28,74,8,211,300
potato_chip,65,0,0,0,0,0,64,0,1,0,0,0
prawn,26,1,0,0,0,0,17,0,4,3,1,0
prickly_pear,20,0,0,0,14,0,6,0,0,0,0,0
provolone_cheese,167,0,0,0,0,0,107,0,0,1,56,3
pumpkin,803,2,139,1,18,4,589,0,3,5,20,22
quince,28,2,0,0,0,3,13,0,0,0,7,3
radish,509,2,305,2,31,5,108,3,4,12,10,27
raisin,1903,47,20,30,50,40,1445,12,35,4,67,153
rapeseed,3,0,0,0,0,0,0,0,0,0,3,0
raspberry,784,0,1,2,10,7,681,2,1,0,26,54
raw_beef,2,0,2,0,0,0,0,0,0,0,0,0
red_algae,2,0,2,0,0,0,0,0,0,0,0,0
red_bean,33,0,32,0,0,0,0,0,0,0,0,1
red_kidney_bean,59,0,0,0,9,0,50,0,0,0,0,0
red_wine,1393,18,25,14,68,30,823,8,4,1,277,125
rhubarb,169,0,0,0,0,2,155,1,0,0,2,9
rice,3395,25,849,19,215,27,1720,4,101,163,226,46
roasted_almond,3,0,0,0,0,0,2,0,0,0,1,0
roasted_beef,222,1,2,3,19,3,163,1,3,3,13,11
roasted_hazelnut,1,0,0,0,0,0,1,0,0,0,0,0
roasted_meat,15,0,0,0,1,0,14,0,0,0,0,0
roasted_nut,1,0,0,0,0,0,1,0,0,0,0,0
roasted_peanut,165,6,6,0,8,0,103,0,6,36,0,0
roasted_pecan,1,0,0,0,0,0,1,0,0,0,0,0
roasted_pork,125,0,3,3,15,0,93,1,0,2,5,3
roasted_sesame_seed,593,3,492,1,1,26,58,0,0,2,5,5
romano_cheese,275,0,0,0,2,0,124,1,0,0,143,5
root,74,0,5,1,4,3,36,0,1,14,5,5
roquefort_cheese,23,0,0,0,0,0,16,0,0,0,1,6
rose,63,5,0,0,0,18,26,0,6,0,3,5
rosemary,1890,4,1,2,21,17,1387,1,1,2,372,82
rum,602,1,1,7,35,3,463,2,1,1,36,52
rutabaga,34,2,0,1,0,1,21,1,0,0,0,8
rye_bread,91,0,0,4,0,0,73,9,0,0,3,2
rye_flour,130,1,0,4,0,4,92,18,0,0,5,6
saffron,236,38,0,1,5,16,61,1,17,1,71,25
sage,903,1,0,3,8,7,730,1,1,2,122,28
sake,624,0,465,0,6,0,135,0,0,3,0,15
salmon,434,2,16,2,9,4,345,5,9,4,12,26
salmon_roe,13,0,3,2,0,0,4,1,0,0,1,2
sassafras,18,0,0,0,0,0,18,0,0,0,0,0
sauerkraut,184,0,1,28,1,0,126,0,0,0,0,28
savory,127,0,1,3,0,1,87,0,1,0,10,24
scallion,4342,16,1188,10,385,57,2293,4,37,128,155,69
scallop,268,0,18,1,8,1,161,1,5,5,42,26
sea_algae,4,0,4,0,0,0,0,0,0,0,0,0
seaweed,188,0,173,0,0,0,13,0,0,0,1,1
seed,1313,22,7,36,96,21,935,14,50,11,46,75
sesame_oil,1341,0,937,0,5,0,330,0,7,48,1,13
sesame_seed,655,12,185,1,22,26,364,0,3,10,24,8
shallot,1187,8,25,6,23,12,721,4,10,69,140,169
sheep_cheese,2,0,0,0,0,0,0,0,0,0,1,1
shellfish,27,0,23,0,0,0,1,0,0,0,2,1
sherry,630,3,51,1,23,4,394,3,5,6,91,49
shiitake,511,0,317,2,8,1,115,0,0,14,37,17
shrimp,1543,6,356,0,89,4,790,9,24,81,145,39
smoke,456,5,2,9,25,5,308,3,3,0,67,29
smoked_fish,6,0,0,0,0,0,6,0,0,0,0,0
smoked_salmon,97,0,4,2,1,2,64,5,0,0,10,9
smoked_sausage,268,0,0,16,8,1,218,0,0,0,11,14
sour_cherry,48,0,1,2,0,1,32,1,0,0,4,7
sour_milk,46,0,0,0,1,0,45,0,0,0,0,0
soybean,1034,1,627,0,6,4,330,0,9,26,21,10
soybean_oil,2,0,0,0,0,0,2,0,0,0,0,0
soy_sauce,3236,3,1358,2,53,4,1620,0,7,144,13,32
spearmint,5,0,0,0,0,0,4,0,0,0,1,0
squash,558,15,1,0,32,12,433,1,3,5,46,10
squid,228,1,144,0,3,0,21,0,0,7,44,8
star_anise,91,1,21,0,0,1,37,0,2,16,3,10
starch,2585,5,346,10,49,31,1920,11,7,24,65,117
strawberry,1078,0,4,5,13,17,948,2,3,0,36,50
strawberry_jam,1,0,0,0,0,0,0,0,0,0,0,1
strawberry_juice,2,0,0,0,0,0,0,0,0,0,0,2
sturgeon_caviar,1,0,0,0,0,0,1,0,0,0,0,0
sumac,14,0,0,0,0,9,4,0,0,0,1,0
sunflower_oil,8,1,0,0,0,1,1,0,4,0,1,0
sweet_potato,518,11,25,2,13,15,427,0,6,3,4,12
swiss_cheese,522,0,0,5,5,0,458,0,0,0,8,46
tabasco_pepper,965,1,9,5,96,1,800,1,3,10,18,21
tamarind,1663,3,11,10,75,2,1419,3,32,22,32,54
tangerine,44,0,10,0,1,1,21,0,0,2,0,9
tarragon,476,0,1,1,4,5,355,2,0,1,35,72
tea,101,0,1,1,0,3,77,1,8,3,0,7
tequila,142,0,0,0,64,0,74,0,0,0,3,1
thai_pepper,87,1,11,0,1,2,29,0,1,40,2,0
